Symbol,Open,High,Low,PrevClose,LTP,Change,%Chng,Volume(shares),Value(Cr),52W_H,52W_L,30d_%Chng
NIFTY 50,23150.3,23306.5,23145.8,23332.35,23250.1,-82.25,-0.35,283196379.0,23501.24,26277.35,21281.45,5.48
POWERGRID,289.35,299.95,285.1,286.75,299.95,13.2,4.6,23478876.0,694.93,366.25,247.3,13.56
SUNPHARMA,1755.0,1812.7,1750.0,1713.65,1772.0,58.35,3.41,5715573.0,1020.09,1960.35,1377.2,8.11
CIPLA,1482.0,1523.3,1480.0,1452.35,1500.0,47.65,3.28,3488899.0,523.68,1702.05,1317.25,3.18
ULTRACEMCO,11189.0,11650.05,11155.0,11250.95,11595.1,344.15,3.06,361884.0,416.47,12145.35,9250.0,8.8
SHRIRAMFIN,633.0,660.55,632.0,639.4,654.1,14.7,2.3,3704676.0,241.74,730.45,438.6,2.91
NTPC,351.75,361.35,351.75,351.75,359.25,7.5,2.13,10317410.0,369.43,448.45,292.8,11.88
ADANIENT,2339.75,2429.9,2339.7,2369.4,2414.0,44.6,1.88,1023200.0,245.97,3743.9,2025.0,11.92
BEL,283.0,288.25,282.6,282.4,287.5,5.1,1.81,20968721.0,599.71,340.5,212.6,9.72
ASIANPAINT,2295.0,2354.9,2289.8,2306.65,2347.7,41.05,1.78,608846.0,142.44,3394.9,2124.75,6.47
GRASIM,2595.1,2664.0,2595.1,2616.5,2652.0,35.5,1.36,298330.0,78.86,2877.75,2171.6,10.05
NESTLEIND,2198.05,2249.05,2195.0,2210.7,2240.0,29.3,1.33,317858.0,70.82,2778.0,2110.0,1.15
INDUSINDBK,694.95,714.7,693.5,702.45,708.6,6.15,0.88,6972769.0,493.31,1576.35,606.0,-28.61
TITAN,3071.0,3151.0,3068.0,3098.45,3125.0,26.55,0.86,1115568.0,349.13,3867.0,2971.15,0.53
TATACONSUM,1049.9,1075.25,1048.1,1062.7,1068.65,5.95,0.56,1595000.0,170.43,1250.1,882.9,11.41
SBIN,770.0,784.7,769.95,775.95,779.9,3.95,0.51,7956680.0,619.38,912.0,680.0,11.6
AXISBANK,1078.9,1091.95,1075.3,1084.45,1089.9,5.45,0.5,5345660.0,581.8,1339.65,933.5,7.66
